DOB ,Birth City ,S/P ,Ctry ,HT ,Wt ,C ,Rk ,Draft ,Rnd ,Ovrl ,Age,Last Name,First Name,Team ,GP ,GS ,W,L ,OT ,SA ,Sv ,GAA,SV%,G ,A ,PIM ,MIN,SO ,PSA,PS Sv ,StGA,StSV,StMIN,QS,RBS,PULL,StSV%,StGAA,QS%,GR,ReGA,ReSV,ReMIN,ReGAA,ReSV%,Type,Status,Expiry,Salary,Cap Hit,GP,GGVT,DGVT,SGVT,GVT,GVS,GPS,ESA,ESV,ESSV%,SHSA,SHSV,SHSV%,PPSA,PPSV,PPSV%,HSOW,HSOL,HSSA,HSGA,RSOW,RSOL,RSSA,RSGA,SOW,SOL,SSA,SGA,SOSV%,,GS,SA,SV,ExpSV,Gsupp,SV%,ExpSV%,DIFF,Ginj,Injury
Nov 02 '88,St. Louis,MO,USA,76,195,L,Y,,,,26,Heeter,Calvin,PHI,1,1,0,0,1,38,33,4.69,.868,0,0,0,64,0,0,0,5,33,64,0,0,0,0.8684,4.69,0.0%,,,,,,,EL,RFA,2014,"$925,000.00","$950,000.00",1.1,-1.3,-0.1,-0.3,-1.7,-2.9,0.0,30,26,.867,0,0,,8,7,.875,0,1,2,1,0,0,0,0,0,1,2,1,.500,CALVIN HEETER,1,38,33,35,4.69,0.8684,0.9228,-0.0544,,
Apr 04 '91,Uppsala,,SWE,77,185,L,Y,2011,2,38,23,Hellberg,Magnus,NSH,1,0,0,0,0,4,3,5.00,.750,0,0,0,12,0,0,0,,,,,,,,,,1,1,3,12,5.00,.750,EL,RFA,2015,"$817,500.00","$925,000.00",0.2,-0.5,0,0,-0.5,-1.6,-0.1,3,3,1.000,0,0,,1,0,.000,,,,,,,,,,,,,,MAGNUS HELLBERG,0,4,3,4,,0.7500,0.9051,-0.1551,,
Feb 12 '82,Felben Wellhausen,,CHE,74,192,R,,,,,32,Hiller,Jonas,ANA,50,50,29,13,7,1348,1228,2.48,.911,0,2,0,2909,5,2,2,120,1228,2912,29,11,4,0.911,2.47,58.0%,,,,,,,,UFA,2014,"$4,500,000.00","$4,500,000.00",48.5,3,0.9,-1.4,2.5,-9.4,7.7,1094,1012,.925,33,28,.848,221,188,.851,1,3,27,10,1,2,9,3,2,5,36,13,.361,JONAS HILLER,50,1348,1228,1232,3.11,0.9110,0.9142,-0.0032,1,Flu
Sep 16 '89,Lloydminster,SK,CAN,74,203,L,,2008,4,93,25,Holtby,Braden,WSH,48,45,23,15,4,1475,1349,2.85,.915,0,2,7,2656,4,0,0,121,1301,2548,27,7,5,0.9149,2.85,60.0%,3,5,48,108,2.78,.906,,RFA,2015,"$1,700,000.00","$1,850,000.00",44.3,7,-1.7,-0.1,5.2,1.3,9.1,1176,1091,.928,51,43,.843,248,215,.867,2,1,9,3,4,1,19,6,6,2,28,9,.321,BRADEN HOLTBY,45,1475,1349,1347,3.20,0.9146,0.9133,0.0013,,
Mar 26 '84,Syracuse,NY,USA,72,218,L,,2003,2,64,30,Howard,Jimmy,DET,51,50,21,19,11,1482,1349,2.66,.910,0,0,6,3004,2,3,2,133,1333,2966,27,7,3,0.9093,2.69,54.0%,1,0,16,38,0.00,1.000,,UFA,2019,"$5,500,000.00","$5,291,667.00",50.1,2.8,-0.2,0.2,2.8,-11.4,8.3,1203,1106,.919,26,24,.923,253,219,.866,3,4,23,6,0,1,3,2,3,5,26,8,.308,JIMMY HOWARD,50,1482,1349,1356,2.46,0.9103,0.9152,-0.0049,13,"Hand, Hip, Knee, Upper body"
Mar 02 '90,Barrie,ON,CAN,75,202,R,Y,2008,3,77,24,Hutchinson,Michael,WPG,3,3,2,1,0,88,83,1.64,.943,0,0,0,183,0,0,0,5,83,183,3,0,0,0.9432,1.64,100.0%,,,,,,,,RFA,2014,"$600,000.00","$600,000.00",3.1,2.6,0,0.8,3.5,3.4,0.8,72,69,.958,1,1,1.000,15,13,.867,1,0,3,0,0,0,0,0,1,0,3,0,.000,MICHAEL HUTCHINSON,3,88,83,80,2.28,0.9432,0.9086,0.0346,,
Dec 19 '85,Thunder Bay,ON,CAN,73,195,L,,,,,29,Hutton,Carter,NSH,40,34,20,11,4,1006,915,2.62,.910,0,1,2,2085,1,1,1,88,846,1915,16,8,4,0.9058,2.76,47.1%,6,3,69,170,1.06,.958,,UFA,2014,"$550,000.00","$550,000.00",34.8,0,0.4,0.9,1.3,1.3,5.6,855,785,.918,12,12,1.000,139,118,.849,1,0,3,0,1,2,16,5,2,2,19,5,.263,CARTER HUTTON,34,1006,915,920,2.75,0.9095,0.9149,-0.0054,,
Jun 10 '86,Saskatoon,SK,CAN,75,205,L,,2006,5,125,28,Johnson,Chad,BOS,27,23,17,4,3,708,655,2.10,.925,0,0,0,1511,2,0,0,48,603,1389,17,2,0,0.9263,2.07,73.9%,4,5,52,122,2.46,.912,,UFA,2014,"$600,000.00","$600,000.00",25.2,9.9,0.4,-0.3,9.9,9.8,5.2,570,531,.932,21,18,.857,117,106,.906,0,0,0,0,0,1,2,1,0,1,2,1,.500,CHAD JOHNSON,23,708,655,649,3.63,0.9251,0.9167,0.0084,,
Jan 10 '90,North Vancouver,BC,CAN,76,187,L,Y,,,,24,Jones,Martin,LAK,19,18,12,6,0,500,467,1.81,.934,0,1,0,1095,4,0,0,32,453,1055,14,1,1,0.934,1.82,77.8%,1,1,14,40,1.50,.933,,RFA,2015,"$550,000.00","$550,000.00",18.3,11.2,0.3,3.3,14.9,14.9,4.2,389,369,.949,10,10,1.000,101,88,.871,1,0,3,0,1,0,9,0,2,0,12,0,.000,MARTIN JONES,18,500,467,455,2.87,0.9340,0.9096,0.0244,,
Jan 13 '73,Sverdlovsk,,RUS,73,208,L,,1992,9,204,41,Khabibulin,Nikolai,CHI,4,4,1,0,1,74,60,5.00,.811,0,0,0,168,0,0,0,14,60,167,1,3,2,0.8108,5.03,25.0%,,,,,,,,UFA,2014,"$1,700,000.00","$2,000,000.00",2.8,-6.1,0.1,0,-6,-10.4,-0.5,60,50,.833,2,1,.500,12,9,.750,,,,,,,,,,,,,,NIKOLAI KHABIBULIN,4,74,60,68,3.98,0.8108,0.9139,-0.1030,62,Lower body
May 07 '86,Ust-Kamenogorsk,,KAZ,71,203,L,,2004,7,206,28,Khudobin,Anton,CAR,36,34,19,14,1,1076,996,2.30,.926,0,0,0,2084,1,2,2,76,960,1990,22,2,2,0.9266,2.29,64.7%,2,4,36,94,2.55,.900,,UFA,2016,"$800,000.00","$800,000.00",34.7,14.5,-0.3,0.8,15,14.3,8.0,931,870,.934,29,23,.793,116,103,.888,0,0,0,0,1,0,3,0,1,0,3,0,.000,ANTON KHUDOBIN,34,1076,996,984,2.68,0.9257,0.9145,0.0112,32,Lower body
May 01 '90,York,NY,USA,78,206,L,Y,2009,6,164,24,Knapp,Connor,BUF,2,1,0,0,1,32,28,3.12,.875,0,1,0,77,0,0,0,3,22,65,0,0,0,0.88,2.77,0.0%,1,1,6,12,5.00,.857,EL,RFA,2014,"$620,000.00","$712,500.00",1.3,-0.9,0.1,-0.3,-1.1,-1.6,0.0,23,21,.913,1,1,1.000,8,6,.750,0,1,2,1,0,0,0,0,0,1,2,1,.500,CONNOR KNAPP,1,32,28,29,2.77,0.8750,0.9146,-0.0396,,
