DOB ,Birth City ,S/P ,Ctry ,HT ,Wt ,C ,Rk ,Draft ,Rnd ,Ovrl ,Age,First Name,Last Name,End Tm,All Tm,GP ,GS ,W,L ,OT ,SA ,Sv ,GAA,SV%,G ,A ,PIM ,MIN,SO ,PSA,PS Sv ,StGA,StSV,StMIN,QS,RBS,PULL,StSV%,StGAA,QS%,GR,ReGA,ReSV,ReMIN,ReGAA,ReSV%,Cap Hit,Days,Actual,GP,GGVT,DGVT,SGVT,GVT,GVS,GPS,GAR,ESA,ESV,ESSV%,SHSA,SHSV,SHSV%,PPSA,PPSV,PPSV%,OTGP,OTSA,OTGA,OTSV%,HSOW,HSOL,HSSA,HSGA,RSOW,RSOL,RSSA,RSGA,SOW,SOL,SSA,SGA,SOSV%,LowS,LowG,MedS,MedG,HighS,HighG,AdjSV%,QoC,Gsupp,ExpSV%,Ginj,Injury,CHIP
Mar 23 '93,Port Alberni,BC,CAN,75,202,L,Y,2011,6,164,21,Laurent,Brossoit,EDM,EDM,1,1,0,1,0,51,49,2.01,.961,0,0,0,59.6,0,0,0,2,49,60,1,0,0,.961,2.00,100.0%,0,0,0,0,0.00,.000,0.925,2,0.01,1,2.1,-0.2,0.0,1.9,1.9,0.6,,47,45,.957,2,2,1.000,2,2,1.000,0,0,0,,,,,,,,,,,,,,,19,0,7,0,23,2,.981,7.97%,1.00,.040,,,
Jun 22 '80,Togliatti,,RUS,75,213,L,,2000,2,44,34,Ilya,Bryzgalov,ANA,ANA,8,6,1,4,1,150,127,4.19,.847,0,2,0,329.5,0,0,0,21,121,307,2,3,2,.852,4.10,33.3%,2,2,6,22,5.45,.750,5.76,124,1.682,5.5,-7.8,0.1,-1.0,-8.7,-11.5,-0.3,-9.6,127,112,.882,20,14,.700,3,1,.333,1,3,0,1.000,0,0,0,0,0,1,3,2,0,1,3,2,.333,63,7,38,4,26,12,.849,8.71%,2.50,-.066,,,
Feb 11 '92,Regina,SK,CAN,73,205,L,Y,2010,5,121,22,Tyler,Bunz,EDM,EDM,1,0,0,0,0,12,9,9.00,.750,0,0,0,20.0,0,0,0,,,,,,,.000,0.00,0.0%,1,3,9,20,9.00,.750,0.683,4,0.015,0.3,-1.6,0.0,0.0,-1.7,-1.7,-0.2,,12,9,.750,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,4,1,3,1,2,1,.756,8.38%,,-.166,,,
Jul 23 '77,Des Moines,IA,USA,74,200,L,,1997,8,215,37,Scott,Clemmensen,NJD,NJD,3,1,0,0,1,54,46,4.73,.852,0,0,0,101.6,0,0,0,4,33,65,0,0,0,.892,3.69,0.0%,2,4,13,37,6.49,.765,0.6,56,0.181,1.7,-2.6,0.0,-0.7,-3.4,-3.4,-0.1,-0.8,39,35,.897,15,11,.733,0,0,,1,4,0,1.000,0,0,0,0,0,1,4,2,0,1,4,2,.500,14,1,18,3,14,4,.878,9.61%,4.00,-.052,,,
Dec 31 '84,Montreal,QC,CAN,74,216,L,,2003,2,52,30,Corey,Crawford,CHI,CHI,57,57,32,20,5,1661,1535,2.27,.924,0,1,8,3332.5,2,1,1,126,1535,3335,39,4,3,.924,2.27,68.4%,0,0,0,0,0.00,.000,6,186,6,55.6,18.8,0.0,2.4,21.2,9.6,11.9,10.8,1414,1316,.931,204,181,.887,43,38,.884,14,30,3,.900,4,1,15,4,2,1,14,2,6,2,29,6,.793,727,14,414,33,394,79,.932,8.69%,2.81,.011,13,"Lower body, Upper body",585
Feb 27 '84,Shorewood,MN,USA,71,185,L,,,,,30,John,Curry,MIN,MIN,2,1,0,0,1,25,20,4.18,.800,0,0,0,71.9,0,0,0,4,19,63,0,1,0,.826,3.81,0.0%,1,1,1,9,6.67,.500,0.575,13,0.04,1.2,-2.3,0.1,0.0,-2.2,-2.2,-0.2,-2.9,21,17,.810,3,3,1.000,1,0,.000,1,1,1,.000,,,,,,,,,,,,,,10,0,6,2,4,3,.837,8.75%,3.00,-.112,,,
Dec 22 '88,Newport News,VA,USA,78,232,L,Y,2007,6,153,26,Scott,Darling,CHI,CHI,14,13,9,4,0,419,392,1.95,.936,0,0,0,832.5,1,1,1,27,379,790,10,0,0,.933,2.05,76.9%,1,0,13,43,0.00,1.000,0.57,76,0.233,13.9,8.8,0.0,1.9,10.6,10.6,3.6,9.6,339,321,.947,68,61,.897,12,10,.833,3,6,0,1.000,1,0,2,0,2,0,5,0,3,0,7,0,1.000,173,5,106,4,113,18,.944,8.51%,2.46,.021,,,
Mar 06 '92,St-Hyacinthe,QC,CAN,75,210,R,Y,2010,5,138,22,Louis,Domingue,ARI,ARI,7,4,1,2,1,158,144,2.73,.911,0,0,0,307.8,0,0,0,11,114,239,3,0,0,.912,2.76,75.0%,3,3,30,69,2.61,.909,0.618,54,0.18,5.1,0.3,-0.1,0.0,0.3,0.3,0.9,0.2,133,120,.902,23,22,.957,2,2,1.000,1,7,1,.857,,,,,,,,,,,,,,69,1,35,5,40,8,.923,8.44%,1.75,-.004,,,
May 18 '94,Winnipeg,MB,CAN,75,200,L,Y,2012,3,76,20,Chris,Driedger,OTT,OTT,1,0,0,0,0,10,10,0.00,1.000,0,0,0,22.9,0,0,0,,,,,,,.000,0.00,0.0%,1,0,10,23,0.00,1.000,0.8,24,0.103,0.4,0.8,0.0,0.0,0.8,0.7,0.2,0.7,8,8,1.000,0,0,,2,2,1.000,0,0,0,,,,,,,,,,,,,,,4,0,4,0,2,0,1.000,9.18%,,.092,,,
May 04 '86,Regina,SK,CAN,78,210,L,,2004,1,14,28,Devan,Dubnyk,MIN,"ARI, MIN",58,55,36,14,4,1625,1510,2.07,.929,0,2,2,3328.2,6,0,0,110,1461,3257,37,4,3,.930,2.03,67.3%,3,5,49,71,4.23,.907,1.6,186,0.8,55.5,27.0,0.2,0.7,27.9,27.4,12.6,20.4,1319,1232,.934,275,248,.902,31,30,.968,13,30,1,.967,2,2,19,7,2,1,10,2,4,3,29,9,.690,757,19,391,32,362,64,.933,8.58%,2.89,.015,,,
Apr 09 '85,Newmarket,ON,CAN,74,209,L,,2003,9,291,29,Brian,Elliott,STL,STL,46,45,26,14,3,1150,1054,2.26,.917,0,3,0,2545.8,5,1,0,95,1049,2539,26,8,5,.917,2.24,57.8%,1,1,5,7,8.57,.833,2.5,186,2.5,42.4,7.4,0.9,0.7,9.1,5.0,7.2,2.8,958,886,.925,160,141,.881,32,27,.844,14,28,1,.964,3,0,9,1,3,2,17,6,6,2,26,7,.731,501,18,323,21,230,57,.919,8.69%,3.02,.003,14,Knee,427
Jun 19 '80,Saskatoon,SK,CAN,73,195,L,,2000,2,60,34,Dan,Ellis,FLA,FLA,8,8,4,3,1,221,202,2.34,.914,0,0,0,486.5,1,0,0,19,202,487,4,0,0,.914,2.34,50.0%,0,0,0,0,0.00,.000,0.9,39,0.189,8.1,0.9,0.2,0.7,1.8,1.6,1.3,0.0,187,172,.920,29,26,.897,5,4,.800,2,4,0,1.000,1,1,6,1,0,0,0,0,1,1,6,1,.833,102,9,52,3,48,7,.914,8.69%,2.63,.001,,,
Sep 28 '82,Hamilton,ON,CAN,74,196,L,,2001,4,99,32,Ray,Emery,PHI,PHI,31,25,10,11,7,758,678,3.06,.894,0,0,4,1569.5,0,0,0,70,624,1391,13,6,3,.899,3.02,52.0%,6,10,54,179,3.35,.844,1,186,1,26.2,-9.3,0.1,-1.6,-10.8,-11.8,2.7,-15.9,610,557,.913,127,103,.811,21,18,.857,11,19,3,.842,0,2,8,3,0,2,6,3,0,4,14,6,.571,347,9,160,23,171,48,.904,8.50%,2.76,-.021,3,Lower body,37
Jun 25 '88,Stockholm,,SWE,70,166,L,,2006,2,46,26,Jhonas,Enroth,DAL,"BUF, DAL",50,44,18,26,2,1504,1359,3.07,.904,0,0,0,2833.6,2,0,0,142,1287,2653,20,7,0,.901,3.21,45.5%,6,3,72,181,0.99,.960,2.5,186,1.25,47.3,-7.8,-1.0,5.5,-3.3,-4.8,7,-17.4,1271,1163,.915,188,156,.830,45,40,.889,10,23,2,.913,3,0,8,0,3,0,16,1,6,0,24,1,.958,650,27,359,33,350,85,.912,8.66%,2.11,-.010,,,
Aug 08 '82,Kalix,,SWE,72,181,L,,,,,32,Viktor,Fasth,EDM,EDM,26,24,6,15,3,681,605,3.41,.888,0,0,0,1336.5,0,0,0,71,574,1246,9,9,5,.890,3.42,37.5%,2,5,31,90,3.33,.861,2.9,186,2.9,22.3,-12.8,-0.1,2.9,-10.1,-15.1,1.9,-14.6,576,516,.896,90,77,.856,15,12,.800,7,17,1,.941,0,0,0,0,3,2,24,4,3,2,24,4,.833,283,16,146,22,176,38,.898,8.44%,2.13,-.027,30,"Groin, Knee",248
Nov 28 '84,Sorel,QC,CAN,74,180,L,,2003,1,1,30,Marc-Andre,Fleury,PIT,PIT,64,64,34,20,9,1831,1685,2.32,.920,0,1,6,3776.2,10,1,1,146,1685,3780,35,6,3,.920,2.32,54.7%,0,0,0,0,0.00,.000,5,186,5,62.9,17.9,0.1,-2.1,15.9,6.4,12.2,18.7,1438,1330,.925,341,311,.912,52,44,.846,18,36,4,.889,2,2,11,5,1,3,21,7,3,5,32,12,.625,777,16,454,39,454,91,.930,8.51%,2.72,.005,,,
Nov 27 '92,Härnösand,,SWE,74,176,L,Y,2011,7,188,22,Anton,Forsberg,CBJ,CBJ,5,5,0,4,0,149,129,4.69,.866,0,0,0,255.7,0,1,1,20,129,255,0,1,1,.866,4.71,0.0%,0,0,0,0,0.00,.000,0.7,55,0.207,4.3,-5.4,-0.2,0.0,-5.7,-5.8,0,-5.3,112,99,.884,33,27,.818,4,3,.750,0,0,0,,,,,,,,,,,,,,,55,2,35,6,39,12,.890,8.11%,2.40,-.053,,,
Jul 14 '93,Pittsburgh,PA,USA,75,216,L,Y,2011,2,39,21,John,Gibson,ANA,ANA,23,21,13,8,0,674,616,2.60,.914,0,0,0,1339.9,1,0,0,51,583,1256,14,4,0,.920,2.44,66.7%,2,7,33,84,5.00,.825,0.925,126,0.627,22.3,2.9,-0.2,-0.1,2.5,2.0,4,-3.4,565,524,.927,96,80,.833,13,12,.923,2,5,0,1.000,1,0,3,1,0,0,0,0,1,0,3,1,.667,330,5,151,18,135,35,.917,8.74%,2.67,.001,22,"Groin, Upper body",229
Jan 29 '86,Fussen,,DEU,73,220,L,,2004,3,94,29,Thomas,Greiss,PIT,PIT,20,18,9,6,3,546,496,2.59,.908,0,0,0,1159.4,0,2,1,48,475,1095,9,2,0,.908,2.63,50.0%,2,2,21,64,1.88,.913,1,186,1,19.3,0.0,0.2,-0.2,0.0,-1.0,2.9,4.0,412,375,.910,120,109,.908,14,12,.857,4,11,2,.818,0,0,0,0,1,1,6,2,1,1,6,2,.667,233,9,134,13,129,28,.917,8.57%,2.61,-.006,5,Illness,12
Aug 27 '89,Brookfield,WI,USA,73,185,L,Y,,,,25,Troy,Grosenick,SJS,SJS,2,2,1,1,0,58,55,1.52,.948,0,0,0,118.4,1,0,0,3,55,118,1,1,0,.948,1.53,50.0%,0,0,0,0,0.00,.000,0.625,27,0.091,2,1.9,0.0,0.0,1.9,1.9,0.6,1.1,55,52,.945,3,3,1.000,0,0,,0,0,0,,,,,,,,,,,,,,,30,1,12,0,13,2,.951,7.08%,1.50,.019,6,Upper body,46
Nov 25 '91,Rosenheim,,DEU,73,184,L,Y,2010,4,112,23,Philipp,Grubauer,WSH,WSH,1,1,1,0,0,25,23,1.85,.920,0,0,0,65.0,0,0,0,2,23,65,1,0,0,.920,1.85,100.0%,0,0,0,0,0.00,.000,0.607,3,0.01,1.1,0.3,0.1,-0.1,0.2,0.2,0.2,-0.4,20,19,.950,5,4,.800,0,0,,1,2,0,1.000,1,0,3,1,0,0,0,0,1,0,3,1,.667,15,2,4,0,4,0,.939,8.83%,3.00,.008,,,
Oct 24 '84,Danderyd,,SWE,76,212,L,,,,,30,Jonas,Gustavsson,DET,DET,7,6,3,3,1,168,153,2.56,.911,0,0,2,351.2,1,0,0,15,151,342,3,2,1,.910,2.63,50.0%,1,0,2,9,0.00,1.000,1.85,186,1.85,5.9,0.4,0.0,0.0,0.4,-2.4,0.9,-0.6,115,108,.939,47,41,.872,6,4,.667,3,6,1,.833,,,,,,,,,,,,,,74,2,52,1,27,12,.907,8.48%,2.17,-.005,57,"Concussion, Shoulder",406
Mar 07 '90,London,ON,CAN,74,171,L,,2009,3,77,24,Matt,Hackett,BUF,BUF,5,4,0,4,1,155,137,4.32,.884,0,0,0,250.3,0,0,0,15,130,213,1,1,1,.897,4.23,25.0%,1,3,7,37,4.86,.700,0.751,128,0.517,4.2,-3.5,-0.3,0.0,-3.8,-4.1,0.4,-4.8,127,114,.898,25,20,.800,3,3,1.000,1,1,1,.000,,,,,,,,,,,,,,69,2,36,7,32,9,.893,8.23%,1.50,-.034,,,
May 13 '85,Bratislava,,SVK,71,186,L,,2003,9,271,29,Jaroslav,Halak,NYI,NYI,59,59,38,17,4,1673,1529,2.43,.914,0,1,2,3550.0,6,1,1,144,1529,3552,36,7,2,.914,2.43,61.0%,0,0,0,0,0.00,.000,4.5,186,4.5,59.2,5.0,0.9,0.0,5.9,-2.5,9.9,10.1,1387,1279,.922,245,210,.857,41,40,.976,14,44,1,.977,3,2,18,5,2,1,12,4,5,3,30,9,.700,629,29,431,40,469,75,.924,8.63%,3.17,.000,4,Lower body,110
Feb 11 '88,White Rock,BC,CAN,73,216,L,,,,,26,Andrew,Hammond,OTT,OTT,24,23,20,1,2,707,665,1.79,.941,0,1,0,1411.0,3,0,0,40,662,1391,18,1,1,.943,1.73,78.3%,1,2,3,20,6.00,.600,0.72,80,0.31,23.5,18.6,-0.2,0.2,18.6,18.4,6.5,8.5,597,563,.943,97,90,.928,13,12,.923,8,13,0,1.000,1,0,3,0,1,2,16,7,2,2,19,7,.632,328,8,182,14,155,20,.943,8.45%,3.13,.025,1,Lower body,9
Feb 12 '82,Felben Wellhausen,,CHE,74,192,R,,,,,32,Jonas,Hiller,CGY,CGY,52,44,26,19,4,1376,1263,2.36,.918,0,0,0,2870.9,1,0,0,110,1161,2610,24,3,2,.913,2.53,54.5%,8,3,102,261,0.69,.971,4.5,186,4.5,47.9,7.6,0.7,-1.2,7.1,-1.3,8.8,-1.9,1207,1119,.927,130,106,.815,39,38,.974,10,18,2,.889,1,1,6,2,0,1,6,3,1,2,12,5,.583,582,19,349,33,332,61,.925,8.41%,2.91,.002,,,
Sep 16 '89,Lloydminster,SK,CAN,74,203,L,,2008,4,93,25,Braden,Holtby,WSH,WSH,73,72,41,20,10,2044,1887,2.22,.923,0,2,2,4247.5,9,1,1,154,1878,4229,44,7,3,.924,2.18,61.1%,1,3,9,18,10.00,.750,1.85,186,1.85,70.8,24.6,0.4,0.6,25.6,22.8,14.4,14.2,1640,1524,.929,341,303,.889,63,60,.952,18,38,7,.816,1,2,12,5,2,1,27,6,3,3,39,11,.718,939,35,486,43,462,79,.927,8.48%,2.93,.008,,,
Mar 26 '84,Syracuse,NY,USA,73,218,L,,2003,2,64,30,Jimmy,Howard,DET,DET,53,50,23,13,11,1350,1229,2.44,.910,0,1,2,2970.6,2,1,1,119,1204,2894,29,8,4,.910,2.47,58.0%,3,2,25,77,1.56,.926,5.292,186,5.292,49.5,2.8,0.9,-6.9,-3.3,-13.4,7.4,-7.8,1087,999,.919,219,189,.863,44,41,.932,18,27,3,.889,0,6,16,10,2,2,16,7,2,8,32,17,.469,627,22,323,31,279,68,.914,8.54%,2.80,-.004,13,"Groin, Lower body",65
Mar 02 '90,Barrie,ON,CAN,75,202,R,Y,2008,3,77,24,Michael,Hutchinson,WPG,WPG,38,36,21,10,5,986,901,2.38,.914,0,0,0,2138.4,2,0,0,84,877,2081,21,7,4,.913,2.42,58.3%,2,1,24,57,1.05,.960,0.575,186,0.575,35.6,5.3,0.4,2.0,7.7,7.6,5.8,-1.1,781,722,.924,178,154,.865,27,25,.926,10,26,4,.846,1,1,6,2,2,0,8,0,3,1,14,2,.857,435,15,242,22,224,48,.920,8.51%,3.19,-.001,,,
Dec 19 '85,Thunder Bay,ON,CAN,73,195,L,,,,,29,Carter,Hutton,NSH,NSH,18,17,6,7,4,450,406,2.61,.902,0,0,0,1009.9,1,0,0,44,396,994,7,3,1,.900,2.66,41.2%,1,0,10,16,0.00,1.000,0.725,186,0.725,16.8,-2.8,0.5,-2.2,-4.5,-4.9,2,-3.5,363,330,.909,76,66,.868,11,10,.909,7,19,2,.895,0,0,0,0,2,2,15,7,2,2,15,7,.533,199,11,101,14,106,19,.907,8.59%,2.47,-.012,,,
Jun 10 '86,Saskatoon,SK,CAN,75,193,L,,2006,5,125,28,Chad,Johnson,NYI,NYI,19,17,8,8,1,488,434,3.08,.889,0,0,0,1052.8,0,0,0,54,427,1029,7,6,0,.888,3.15,41.2%,2,0,7,24,0.00,1.000,2.6,186,1.3,17.6,-8.6,0.3,0.4,-7.9,-9.5,1.4,-11.4,426,385,.904,55,42,.764,7,7,1.000,3,10,0,1.000,0,0,0,0,2,1,8,2,2,1,8,2,.750,191,7,132,15,111,32,.903,8.32%,3.00,-.027,18,Lower body,285
Jan 10 '90,North Vancouver,BC,CAN,76,187,L,Y,,,,25,Martin,Jones,LAK,LAK,15,11,4,5,2,307,278,2.24,.906,0,1,0,775.4,3,0,0,21,237,599,5,1,0,.919,2.10,45.5%,4,8,41,176,2.73,.837,0.55,186,0.55,12.9,-0.8,0.7,0.7,0.6,0.6,1.5,-2.0,258,236,.915,40,33,.825,9,9,1.000,2,5,1,.800,0,0,0,0,0,1,6,1,0,1,6,1,.833,122,4,88,9,68,16,.915,8.47%,2.30,-.010,3,Back,20
May 07 '86,Ust-Kamenogorsk,,KAZ,71,203,L,,2004,7,206,28,Anton,Khudobin,CAR,CAR,34,32,8,17,6,874,787,2.72,.900,0,0,0,1920.4,1,0,0,86,776,1880,16,9,1,.900,2.74,50.0%,2,1,11,40,1.50,.917,2.25,186,2.25,32,-7.8,0.9,1.7,-5.2,-8.8,3.8,-5.7,762,687,.902,100,89,.890,12,11,.917,10,23,4,.826,2,1,7,1,1,1,6,1,3,2,13,2,.846,349,10,225,16,214,61,.916,8.70%,1.94,-.013,,,
Jul 04 '89,Farmingville,NY,USA,74,195,L,Y,,,,25,Keith,Kinkaid,NJD,NJD,19,13,6,5,4,469,429,2.59,.915,0,0,0,925.4,0,0,0,31,365,774,7,0,1,.922,2.40,53.8%,6,9,64,151,3.58,.877,0.6,137,0.442,15.4,2.2,-0.1,-0.4,1.7,1.6,2.8,0.4,387,361,.933,71,59,.831,11,9,.818,6,14,2,.857,2,1,7,2,0,1,5,2,2,2,12,4,.667,213,11,118,12,98,17,.917,8.47%,2.62,-.001,4,Lower body,29
May 05 '90,Saskatoon,SK,CAN,77,205,L,,2009,6,161,24,Darcy,Kuemper,MIN,MIN,31,28,14,12,2,718,650,2.60,.905,0,0,0,1568.7,3,0,0,67,625,1503,16,7,5,.903,2.67,57.1%,3,1,25,66,0.91,.962,1.25,186,1.25,26.2,-2.6,0.6,-1.3,-3.4,-4.9,3.5,-12.1,630,574,.911,69,58,.841,19,18,.947,6,9,1,.889,1,0,3,1,0,1,2,2,1,1,5,3,.400,335,14,160,25,156,29,.909,8.77%,2.82,-.007,7,"Illness, Lower body",15
Jan 18 '80,Burnaby,BC,CAN,75,232,L,,1998,3,66,35,Jason,LaBarbera,ANA,ANA,5,2,2,0,1,99,90,2.60,.909,0,0,0,207.5,0,0,0,5,49,122,2,0,0,.907,2.46,100.0%,3,4,41,85,2.82,.911,0.75,53,0.214,3.5,0.0,0.0,-0.1,0.0,-0.1,0.5,-1.3,78,72,.923,16,13,.813,5,5,1.000,2,4,1,.750,1,0,3,1,0,0,0,0,1,0,3,1,.667,47,2,22,5,21,2,.914,8.35%,2.50,-.007,5,Upper body,46
Jan 05 '88,Norrtälje,,SWE,76,187,L,,,,,27,Eddie,Lack,VAN,VAN,41,35,18,13,4,1201,1106,2.45,.921,0,0,2,2324.0,2,1,0,92,1002,2111,20,5,1,.916,2.61,57.1%,6,3,104,213,0.85,.972,1.15,186,1.15,38.7,11.8,-0.6,1.1,12.3,11.0,8.1,12.2,976,900,.922,194,175,.902,31,31,1.000,10,31,2,.935,2,1,8,3,2,1,8,1,4,2,16,4,.750,509,12,291,19,305,64,.932,8.52%,2.74,.006,,,
Jul 24 '91,Gothenburg,,SWE,77,225,L,,2009,2,46,23,Robin,Lehner,OTT,OTT,25,24,9,12,3,779,705,3.02,.905,0,1,0,1471.3,0,0,0,72,695,1438,11,2,1,.906,3.00,45.8%,1,2,10,33,3.64,.833,2.225,186,2.225,24.5,-3.1,-0.6,0.2,-3.5,-7.1,3.8,-10.0,650,594,.914,112,96,.857,17,15,.882,6,13,1,.923,0,1,2,1,3,1,12,3,3,2,14,4,.714,352,21,181,17,172,36,.908,8.67%,2.92,-.008,30,"Concussion, Undisclosed",733
Nov 16 '83,Helsinki,,FIN,76,210,L,,2002,1,2,31,Kari,Lehtonen,DAL,DAL,65,65,34,17,10,1875,1694,2.94,.903,0,3,2,3697.7,5,2,1,181,1694,3698,31,12,8,.903,2.94,47.7%,0,0,0,0,0.00,.000,5.9,186,5.9,61.6,-9.6,-0.5,0.3,-9.8,-21.2,8.7,-2.4,1531,1391,.909,287,249,.868,57,54,.947,17,32,7,.781,0,3,16,6,2,0,5,0,2,3,21,6,.714,762,25,485,49,447,107,.915,8.41%,3.32,-.012,,,
